fecha;rk;tipo;localizacion;latitud;longitud;profundidad;especie;sexo;estado_caparazon;cirripedio;largo_caparazon;ancho_caparazon;largo_quela;ancho_quela;huevos;parasito
jul_97;123;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;97.9;;;;;
jul_97;124;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;92.7;;;;;
jul_97;125;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;81.9;;;;;
jul_97;126;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;88.7;;;;;
jul_97;127;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;90.7;;;;;
jul_97;128;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;92.5;;;;;
jul_97;129;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;73.2;;;;3;
jul_97;130;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;65.9;;;;3;
jul_97;131;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;93.8;;;;;
jul_97;132;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;89.9;;;;;
jul_97;133;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;91.3;;;;;
jul_97;134;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;65.1;;;;3;
jul_97;135;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;72.4;;;;7;
jul_97;136;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;74.9;;;;;
jul_97;137;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;91.1;;;;;
jul_97;138;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;68.7;;;;5;
jul_97;139;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;98.7;;;;;
jul_97;140;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;91.1;;;;;
jul_97;141;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;92.4;;;;;
jul_97;142;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;89.5;;;;;
jul_97;143;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;92;;;;;
jul_97;144;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;80.1;;;;;
jul_97;145;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;92;;;;;
jul_97;146;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;89.8;;;;;
jul_97;147;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;82.9;;;;;
jul_97;148;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;73.2;;;;1;
jul_97;149;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;91.1;;;;;
jul_97;150;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;91.6;;;;;
jul_97;151;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;93.3;;;;;
jul_97;152;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;84.3;;;;;
jul_97;153;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;94.2;;;;;
jul_97;154;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;95.1;;;;;
jul_97;155;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;2;90.1;;;;;
jul_97;156;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;3;;74.7;;;;1;
jul_97;157;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;2;4;2;69.5;;;;3;
jul_97;158;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;3;;81.2;;;;;
jul_97;159;Captura total 2 trampas;wp 150;-54.8580833;-68.03978333;24;2;1;4;2;88.8;;;;;
